"","date","type","total_case"
"1",2020-01-22,"confirmed",555
"2",2020-01-22,"death",17
"3",2020-01-22,"recovered",28
"4",2020-01-23,"confirmed",653
"5",2020-01-23,"death",18
"6",2020-01-23,"recovered",30
"7",2020-01-24,"confirmed",941
"8",2020-01-24,"death",26
"9",2020-01-24,"recovered",36
"10",2020-01-25,"confirmed",1434
"11",2020-01-25,"death",42
"12",2020-01-25,"recovered",39
"13",2020-01-26,"confirmed",2118
"14",2020-01-26,"death",56
"15",2020-01-26,"recovered",52
"16",2020-01-27,"confirmed",2927
"17",2020-01-27,"death",82
"18",2020-01-27,"recovered",61
"19",2020-01-28,"confirmed",5578
"20",2020-01-28,"death",131
"21",2020-01-28,"recovered",107
"22",2020-01-29,"confirmed",6166
"23",2020-01-29,"death",133
"24",2020-01-29,"recovered",126
"25",2020-01-30,"confirmed",8234
"26",2020-01-30,"death",171
"27",2020-01-30,"recovered",143
"28",2020-01-31,"confirmed",9927
"29",2020-01-31,"death",213
"30",2020-01-31,"recovered",222
"31",2020-02-01,"confirmed",12038
"32",2020-02-01,"death",259
"33",2020-02-01,"recovered",284
"34",2020-02-02,"confirmed",16787
"35",2020-02-02,"death",362
"36",2020-02-02,"recovered",472
"37",2020-02-03,"confirmed",19881
"38",2020-02-03,"death",426
"39",2020-02-03,"recovered",623
"40",2020-02-04,"confirmed",23892
"41",2020-02-04,"death",492
"42",2020-02-04,"recovered",852
"43",2020-02-05,"confirmed",27636
"44",2020-02-05,"death",564
"45",2020-02-05,"recovered",1124
"46",2020-02-06,"confirmed",30818
"47",2020-02-06,"death",634
"48",2020-02-06,"recovered",1487
"49",2020-02-07,"confirmed",34392
"50",2020-02-07,"death",719
"51",2020-02-07,"recovered",2011
"52",2020-02-08,"confirmed",37121
"53",2020-02-08,"death",806
"54",2020-02-08,"recovered",2616
"55",2020-02-09,"confirmed",40151
"56",2020-02-09,"death",906
"57",2020-02-09,"recovered",3244
"58",2020-02-10,"confirmed",42763
"59",2020-02-10,"death",1013
"60",2020-02-10,"recovered",3946
"61",2020-02-11,"confirmed",44803
"62",2020-02-11,"death",1113
"63",2020-02-11,"recovered",4683
"64",2020-02-12,"confirmed",45222
"65",2020-02-12,"death",1118
"66",2020-02-12,"recovered",5150
"67",2020-02-13,"confirmed",60370
"68",2020-02-13,"death",1371
"69",2020-02-13,"recovered",6295
"70",2020-02-14,"confirmed",66887
"71",2020-02-14,"death",1523
"72",2020-02-14,"recovered",8058
"73",2020-02-15,"confirmed",69032
"74",2020-02-15,"death",1666
"75",2020-02-15,"recovered",9395
"76",2020-02-16,"confirmed",71226
"77",2020-02-16,"death",1770
"78",2020-02-16,"recovered",10865
"79",2020-02-17,"confirmed",73260
"80",2020-02-17,"death",1868
"81",2020-02-17,"recovered",12583
