"","Province.State","Country.Region","Lat","Long","confirmed_number","death_number","recoved_number"
"1","","Belgium",50.5039,4.4699,1,0,1
"2","","Cambodia",12.5657,104.991,1,0,1
"3","","Egypt",26.8206,30.8025,1,0,0
"4","","Finland",61.9241,25.7482,1,0,1
"5","","France",46.2276,2.2137,12,1,4
"6","","Germany",51.1657,10.4515,16,0,1
"7","","India",20.5937,78.9629,3,0,3
"8","","Italy",41.8719,12.5674,3,0,0
"9","","Japan",35.6762,139.6503,66,1,12
"10","","Malaysia",4.2105,101.9758,22,0,7
"11","","Nepal",28.3949,84.124,1,0,1
"12","","Philippines",12.8797,121.774,3,1,1
"13","","Russia",61.524,105.3188,2,0,2
"14","","Singapore",1.3521,103.8198,77,0,24
"15","","South Korea",37.5665,126.978,30,0,10
"16","","Spain",40.4637,-3.7492,2,0,2
"17","","Sri Lanka",7.8731,80.7718,1,0,1
"18","","Sweden",60.1282,18.6435,1,0,0
"19","","Thailand",13.7563,100.5018,35,0,15
"20","","UK",55.3781,-3.436,9,0,8
"21","","United Arab Emirates",23.4241,53.8478,9,0,4
"22","","Vietnam",21.0278,105.8342,16,0,7
"23","Anhui","Mainland China",31.82571,117.2264,973,6,280
"24","Beijing","Mainland China",40.18238,116.4142,381,4,114
"25","Boston, MA","US",42.3601,-71.0589,1,0,0
"26","British Columbia","Canada",49.2827,-123.121,5,0,0
"27","Chicago, IL","US",40.6331,-89.3985,2,0,2
"28","Chongqing","Mainland China",30.05718,107.874,553,5,225
"29","Diamond Princess cruise ship","Others",35.4437,129.638,454,0,0
"30","Fujian","Mainland China",26.07783,117.9895,290,0,90
"31","Gansu","Mainland China",36.0611,103.8343,91,2,58
"32","Guangdong","Mainland China",23.33841,113.422,1322,4,524
"33","Guangxi","Mainland China",23.82908,108.7881,238,2,53
"34","Guizhou","Mainland China",26.81536,106.8748,146,1,57
"35","Hainan","Mainland China",19.19673,109.7455,163,4,59
"36","Hebei","Mainland China",38.0428,114.5149,301,3,122
"37","Heilongjiang","Mainland China",47.862,127.7622,457,11,85
"38","Henan","Mainland China",33.88202,113.614,1246,16,509
"39","Hong Kong","Hong Kong",22.3193,114.1694,60,1,2
"40","Hubei","Mainland China",30.97564,112.2707,59989,1789,7862
"41","Hunan","Mainland China",27.61041,111.7088,1006,3,498
"42","Inner Mongolia","Mainland China",44.09448,113.9456,72,0,8
"43","Jiangsu","Mainland China",32.97027,119.464,626,0,258
"44","Jiangxi","Mainland China",27.61401,115.7221,930,1,275
"45","Jilin","Mainland China",43.66657,126.1917,89,1,34
"46","Liaoning","Mainland China",41.29284,122.6086,121,1,43
"47","London, ON","Canada",42.9849,-81.2453,1,0,1
"48","Los Angeles, CA","US",34.0522,-118.2437,1,0,0
"49","Macau","Macau",22.1987,113.5439,10,0,5
"50","Madison, WI","US",43.0731,-89.4012,1,0,0
"51","New South Wales","Australia",-33.8688,151.2093,4,0,4
"52","Ningxia","Mainland China",37.26923,106.1655,70,0,35
"53","Orange, CA","US",33.7879,-117.8531,1,0,0
"54","Qinghai","Mainland China",35.65945,96.02564,18,0,13
"55","Queensland","Australia",-27.4698,153.0251,5,0,0
"56","San Antonio, TX","US",29.4241,-98.4936,1,0,0
"57","San Benito, CA","US",36.5761,-120.9876,2,0,0
"58","San Diego County, CA","US",32.7157,-117.1611,2,0,0
"59","Santa Clara, CA","US",37.3541,-121.9552,2,0,0
"60","Seattle, WA","US",47.7511,-120.74,1,0,1
"61","Shaanxi","Mainland China",35.19165,108.8701,240,0,79
"62","Shandong","Mainland China",36.34377,118.1529,541,2,191
"63","Shanghai","Mainland China",31.20327,121.4554,333,1,161
"64","Shanxi","Mainland China",37.57769,112.2922,130,0,53
"65","Sichuan","Mainland China",30.61714,102.7103,495,3,156
"66","South Australia","Australia",-34.9285,138.6007,2,0,2
"67","Taiwan","Taiwan",23.6978,120.9605,22,1,2
"68","Tempe, AZ","US",34.0489,-111.094,1,0,0
"69","Tianjin","Mainland China",39.29362,117.333,125,3,46
"70","Tibet","Mainland China",30.1534,88.7879,1,0,1
"71","Toronto, ON","Canada",43.6532,-79.3832,2,0,0
"72","Victoria","Australia",-37.8136,144.9631,4,0,4
"73","Xinjiang","Mainland China",41.11981,85.17822,75,1,12
"74","Yunnan","Mainland China",24.97411,101.4868,171,0,47
"75","Zhejiang","Mainland China",29.18251,120.0985,1171,0,507
